"Source","Target","Weight","Type"
"Cry_Wolf","Julian Morris","1","Undirected"
"Cry_Wolf","Gary Cole","1","Undirected"
"Cry_Wolf","Lindy Booth","1","Undirected"
"Cry_Wolf","Jeff Wadlow","1","Undirected"
"Julian Morris","Donkey Punch","1","Undirected"
"Julian Morris","Sorority Row","1","Undirected"
"Julian Morris","Something Wicked","1","Undirected"
"Gary Cole","A Simple Plan","1","Undirected"
"Gary Cole","One Hour Photo","1","Undirected"
"Gary Cole","Pineapple Express","1","Undirected"
"Gary Cole","Christmas Eve","1","Undirected"
"Gary Cole","Win a Date with Tad Hamilton!","1","Undirected"
"Gary Cole","Talladega Nights: The Ballad of Ricky Bobby","1","Undirected"
"Gary Cole","The Joneses","1","Undirected"
"Gary Cole","Hop","1","Undirected"
"Gary Cole","Office Space","1","Undirected"
"Gary Cole","Tammy","1","Undirected"
"Gary Cole","The Ring Two","1","Undirected"
"Gary Cole","I Spy","1","Undirected"
"Gary Cole","Dodgeball: A True Underdog Story","1","Undirected"
"Lindy Booth","Wrong Turn","1","Undirected"
"Jeff Wadlow","Kick-Ass 2","1","Undirected"
"Jeff Wadlow","Never Back Down","1","Undirected"
"The Inkwell","Larenz Tate","1","Undirected"
"The Inkwell","Matty Rich","1","Undirected"
"The Inkwell","Jada Pinkett Smith","1","Undirected"
"The Inkwell","Joe Morton","1","Undirected"
"Jada Pinkett Smith","The Nutty Professor","1","Undirected"
"Jada Pinkett Smith","Madagascar","1","Undirected"
"Jada Pinkett Smith","Scream 2","1","Undirected"
"Jada Pinkett Smith","Princess Mononoke","1","Undirected"
"Jada Pinkett Smith","Madagascar: Escape 2 Africa","1","Undirected"
"Jada Pinkett Smith","Bamboozled","1","Undirected"
"Jada Pinkett Smith","Ali","1","Undirected"
"Jada Pinkett Smith","A Low Down Dirty Shame","1","Undirected"
"Jada Pinkett Smith","Collateral","1","Undirected"
"Jada Pinkett Smith","Menace II Society","1","Undirected"
"Jada Pinkett Smith","Madagascar 3: Europe's Most Wanted","1","Undirected"
"Jada Pinkett Smith","Woo","1","Undirected"
"Jada Pinkett Smith","Tales from the Crypt: Demon Knight","1","Undirected"
"Jada Pinkett Smith","Bad Moms","1","Undirected"
