"Id","Label","Classification"
"Cry_Wolf","Cry_Wolf","MOVIE"
"Julian Morris","Julian Morris","ACTOR"
"Gary Cole","Gary Cole","ACTOR"
"Lindy Booth","Lindy Booth","ACTOR"
"Jeff Wadlow","Jeff Wadlow","DIRECTOR"
"The Inkwell","The Inkwell","MOVIE"
"Jada Pinkett Smith","Jada Pinkett Smith","ACTOR"
"Joe Morton","Joe Morton","ACTOR"
"Larenz Tate","Larenz Tate","ACTOR"
"Matty Rich","Matty Rich","ACTOR-DIRECTOR"
"All Good Things","All Good Things","MOVIE"
"Ryan Gosling","Ryan Gosling","ACTOR"
"Kirsten Dunst","Kirsten Dunst","ACTOR"
"Frank Langella","Frank Langella","ACTOR"
"Andrew Jarecki","Andrew Jarecki","DIRECTOR"
"Married Life","Married Life","MOVIE"
"David Richmond-Peck","David Richmond-Peck","ACTOR"
"Erin Boyes","Erin Boyes","ACTOR"
"Timothy Webber","Timothy Webber","ACTOR"
"Ira Sachs","Ira Sachs","DIRECTOR"
"Year One","Year One","MOVIE"
"Olivia Wilde","Olivia Wilde","ACTOR"
"Oliver Platt","Oliver Platt","ACTOR"
"Xander Berkeley","Xander Berkeley","ACTOR"
"Harold Ramis","Harold Ramis","ACTOR-DIRECTOR"
"The Virginity Hit","The Virginity Hit","MOVIE"
"Matt Bennett","Matt Bennett","ACTOR"
"Krysta Rodriguez","Krysta Rodriguez","ACTOR"
"Zack Pearlman","Zack Pearlman","ACTOR"
"Huck Botko","Huck Botko","DIRECTOR"
"Case 39","Case 39","MOVIE"
"Bradley Cooper","Bradley Cooper","ACTOR"
"Callum Rennie","Callum Rennie","ACTOR"
"Vanesa Tomasino","Vanesa Tomasino","ACTOR"
"Christian Alvart","Christian Alvart","DIRECTOR"
"The Peacemaker","The Peacemaker","MOVIE"
"Armin Mueller-Stahl","Armin Mueller-Stahl","ACTOR"
"Holt McCallany","Holt McCallany","ACTOR"
"Marcel Iures","Marcel Iures","ACTOR"
"Mimi Leder","Mimi Leder","DIRECTOR"
"Rapa Nui","Rapa Nui","MOVIE"
"Esai Morales","Esai Morales","ACTOR"
"Jason Scott Lee","Jason Scott Lee","ACTOR"
"Sandrine Holt","Sandrine Holt","ACTOR"
"Kevin Reynolds","Kevin Reynolds","DIRECTOR"
"Lock, Stock and Two Smoking Barrels","Lock, Stock and Two Smoking Barrels","MOVIE"
"Jason Statham","Jason Statham","ACTOR"
"Jason Flemyng","Jason Flemyng","ACTOR"
"Dexter Fletcher","Dexter Fletcher","ACTOR-DIRECTOR"
"Guy Ritchie","Guy Ritchie","DIRECTOR"
"Queen of the Damned","Queen of the Damned","MOVIE"
"Aaliyah","Aaliyah","ACTOR"
"Lena Olin","Lena Olin","ACTOR"
"Bruce Spence","Bruce Spence","ACTOR"
"Michael Rymer","Michael Rymer","DIRECTOR"
"My Dog Tulip","My Dog Tulip","MOVIE"
"Isabella Rossellini","Isabella Rossellini","ACTOR"
"Peter Gerety","Peter Gerety","ACTOR"
"Lynn Redgrave","Lynn Redgrave","ACTOR"
"Paul Fierlinger","Paul Fierlinger","DIRECTOR"
"Zoolander 2","Zoolander 2","MOVIE"
"Milla Jovovich","Milla Jovovich","ACTOR"
"Will Ferrell","Will Ferrell","ACTOR"
"Justin Theroux","Justin Theroux","ACTOR"
"Ben Stiller","Ben Stiller","DIRECTOR"
"Get on Up","Get on Up","MOVIE"
"Tika Sumpter","Tika Sumpter","ACTOR"
"Josh Hopkins","Josh Hopkins","ACTOR"
"Aunjanue Ellis","Aunjanue Ellis","ACTOR"
"Tate Taylor","Tate Taylor","ACTOR-DIRECTOR"
"Nowhere Boy","Nowhere Boy","MOVIE"
"Kristin Scott Thomas","Kristin Scott Thomas","ACTOR"
"Ophelia Lovibond","Ophelia Lovibond","ACTOR"
"Anne-Marie Duff","Anne-Marie Duff","ACTOR"
"Sam Taylor-Johnson","Sam Taylor-Johnson","DIRECTOR"
"Bandits","Bandits","MOVIE"
"Bruce Willis","Bruce Willis","ACTOR"
"Br--an F. O'Byrne","Br--an F. O'Byrne","ACTOR"
"Azura Skye","Azura Skye","ACTOR"
"Barry Levinson","Barry Levinson","DIRECTOR"
"Flags of Our Fathers","Flags of Our Fathers","MOVIE"
"Paul Walker","Paul Walker","ACTOR"
"Chris Bauer","Chris Bauer","ACTOR"
"Tom McCarthy","Tom McCarthy","ACTOR-DIRECTOR"
"Clint Eastwood","Clint Eastwood","ACTOR-DIRECTOR"
"The Great Gatsby","The Great Gatsby","MOVIE"
"Leonardo DiCaprio","Leonardo DiCaprio","ACTOR"
"Elizabeth Debicki","Elizabeth Debicki","ACTOR"
"Steve Bisley","Steve Bisley","ACTOR"
"Baz Luhrmann","Baz Luhrmann","DIRECTOR"
"The Horse Boy","The Horse Boy","MOVIE"
"Temple Grandin","Temple Grandin","ACTOR"
"Rowan Isaacson","Rowan Isaacson","ACTOR"
"Simon Baron-Cohen","Simon Baron-Cohen","ACTOR"
"Michel Orion Scott","Michel Orion Scott","DIRECTOR"
"The One","The One","MOVIE"
"Jet Li","Jet Li","ACTOR"
"Delroy Lindo","Delroy Lindo","ACTOR"
"James Wong","James Wong","DIRECTOR"
"Princess Kaiulani","Princess Kaiulani","MOVIE"
"Q'orianka Kilcher","Q'orianka Kilcher","ACTOR"
"Will Patton","Will Patton","ACTOR"
"Shaun Evans","Shaun Evans","ACTOR"
"Marc Forby","Marc Forby","DIRECTOR"
"Anaconda","Anaconda","MOVIE"
"Frank Welker","Frank Welker","ACTOR"
"Eric Stoltz","Eric Stoltz","ACTOR"
"Kari Wuhrer","Kari Wuhrer","ACTOR"
"Luis Llosa","Luis Llosa","DIRECTOR"
"Anastasia","Anastasia","MOVIE"
"Kelsey Grammer","Kelsey Grammer","ACTOR"
"Bernadette Peters","Bernadette Peters","ACTOR"
"Don Bluth","Don Bluth","DIRECTOR"
"Sweet Sweetback's Baadasssss Song","Sweet Sweetback's Baadasssss Song","MOVIE"
"John Amos","John Amos","ACTOR"
"Mario Van Peebles","Mario Van Peebles","ACTOR-DIRECTOR"
"Melvin Van Peebles","Melvin Van Peebles","ACTOR-DIRECTOR"
"The Ridges","The Ridges","MOVIE"
"Robbie Barnes","Robbie Barnes","ACTOR"
"Alana Kaniewski","Alana Kaniewski","ACTOR"
"Brandon Landers","Brandon Landers","ACTOR-DIRECTOR"
"The Art of Getting By","The Art of Getting By","MOVIE"
"Michael Angarano","Michael Angarano","ACTOR"
"Blair Underwood","Blair Underwood","ACTOR"
"Rita Wilson","Rita Wilson","ACTOR"
"Gavin Wiesen","Gavin Wiesen","DIRECTOR"
"The Mothman Prophecies","The Mothman Prophecies","MOVIE"
"Debra Messing","Debra Messing","ACTOR"
"David Eigenberg","David Eigenberg","ACTOR"
"Mark Pellington","Mark Pellington","DIRECTOR"
"Apocalypto","Apocalypto","MOVIE"
"Rudy Youngblood","Rudy Youngblood","ACTOR"
"Dalia Hern--ndez","Dalia Hern--ndez","ACTOR"
"Jonathan Brewer","Jonathan Brewer","ACTOR"
