NodeID,Name,Race,Gender
1,Julian Morris,,
2,Gary Cole,White,Male
3,Lindy Booth,White,Female
6,Jada Pinkett Smith,Black,Female
7,Joe Morton,Black,Male
8,Larenz Tate,Black,Male
11,Ryan Gosling,White,Male
12,Kirsten Dunst,White,Female
13,Frank Langella,White,Male
16,David Richmond-Peck,,
17,Erin Boyes,,
18,Timothy Webber,,
21,Olivia Wilde,White,Female
22,Oliver Platt,White,Male
23,Xander Berkeley,White,Male
26,Matt Bennett,,
27,Krysta Rodriguez,,
28,Zack Pearlman,,
31,Bradley Cooper,White,Male
32,Callum Rennie,White,Male
33,Vanesa Tomasino,,
36,Armin Mueller-Stahl,White,Male
37,Holt McCallany,,
38,Marcel Iures,,
41,Esai Morales,Hispanic,Male
42,Jason Scott Lee,Asian,Male
43,Sandrine Holt,Multiracial,Female
46,Jason Statham,White,Male
47,Jason Flemyng,White,Male
48,Dexter Fletcher,White,Male
51,Aaliyah,Black,Female
52,Lena Olin,White,Female
53,Bruce Spence,White,Male
56,Isabella Rossellini,White,Female
57,Peter Gerety,,
58,Lynn Redgrave,White,Female
61,Milla Jovovich,White,Female
62,Will Ferrell,White,Male
63,Justin Theroux,White,Male
66,Tika Sumpter,,
67,Josh Hopkins,White,Male
68,Aunjanue Ellis,Black,Female
71,Kristin Scott Thomas,White,Female
72,Ophelia Lovibond,,
73,Anne-Marie Duff,White,Female
76,Bruce Willis,White,Male
77,Br--an F. O'Byrne,,
78,Azura Skye,White,Female
81,Paul Walker,White,Male
82,Chris Bauer,White,Male
83,Tom McCarthy,,
86,Leonardo DiCaprio,White,Male
87,Elizabeth Debicki,,
88,Steve Bisley,,
91,Temple Grandin,White,Female
92,Rowan Isaacson,,
93,Simon Baron-Cohen,,
96,Jet Li,Asian,Male
97,Delroy Lindo,Black,Male
100,Q'orianka Kilcher,,
101,Will Patton,White,Male
102,Shaun Evans,,
105,Frank Welker,White,Male
106,Eric Stoltz,White,Male
107,Kari Wuhrer,White,Female
110,Kelsey Grammer,White,Male
111,Bernadette Peters,White,Female
114,John Amos,Black,Male
115,Mario Van Peebles,Black,Male
116,Melvin Van Peebles,Black,Male
119,Robbie Barnes,,
120,Alana Kaniewski,,
121,Brandon Landers,,
124,Michael Angarano,White,Male
125,Blair Underwood,Black,Male
126,Rita Wilson,White,Female
129,Debra Messing,White,Female
130,David Eigenberg,White,Male
133,Rudy Youngblood,American Aborigine,Male
134,Dalia Hern--ndez,,
135,Jonathan Brewer,,
138,Sarah Michelle Gellar,White,Female
139,Clea DuVall,White,Female
140,Ted Raimi,White,Male
143,Fisher Stevens,White,Male
144,Wes Studi,American Aborigine,Male
145,Jon Seda,Hispanic,Male
148,Ron Lester,,
149,Mark Walters,,
152,Denzel Washington,Black,Male
153,Nicholas Turturro,White,Male
154,Charlie Murphy,Black,Male
157,Billy Burke,White,Male
158,Amiah Miller,,
159,Gabriel Bateman,,
162,Brighton Sharbino,,
163,Jake Busey,White,Male
164,Tim Guinee,White,Male
167,Keanu Reeves,Multiracial,Male
168,Daniel Roebuck,White,Male
169,Ione Skye,White,Female
172,Chazz Palminteri,White,Male
173,Ryan O'Neal,White,Male
174,Paul Mazursky,White,Male
177,Jim Broadbent,White,Male
178,Tuppence Middleton,,
179,Lily James,White,Female
182,Brooke Shields,White,Female
183,Leslie Bibb,White,Female
186,Devin Ratray,,
187,Bruce Dern,White,Male
188,Will Forte,White,Male
191,Lea Thompson,White,Female
192,Jennifer Grey,White,Female
193,William Smith,White,Male
196,Clint Eastwood,White,Male
197,Meryl Streep,White,Female
198,Debra Monk,White,Female
200,Stephanie Szostak,,
201,Sarah Rafferty,,
202,Salvatore Santone,,
205,Jimmy Bennett,,
206,Leo Howard,,
207,Jake Short,White,Male
210,Mel Blanc,White,Male
211,Dickie Jones,White,Male
212,Cliff Edwards,White,Male
215,Salma Hayek,Hispanic,Female
216,Sam Shepard,White,Male
217,Dwight Yoakam,White,Male
220,Jim Sturgess,White,Male
221,Kevin Zegers,White,Male
222,Michael McElhatton,,
225,Eddie Cibrian,White,Male
226,Chris Klein,White,Male
227,Jack Plotnick,White,Male
230,Bill Murray,White,Male
231,LL Cool J,Black,Male
232,Kelly Lynch,White,Female
235,Jurnee Smollett-Bell,,
236,Lynn Whitfield,Black,Female
237,Diahann Carroll,Black,Female
240,Joe Cross,,
241,Joel Fuhrman,,
242,Amy Badberg,,
245,Danny Dyer,White,Male
248,James Nesbitt,White,Male
249,David Kelly,White,Male
250,Fionnula Flanagan,White,Female
253,Stephen Root,White,Male
254,Diedrich Bader,White,Male
257,Goran Visnjic,White,Male
258,Lou Taylor Pucci,,
259,Mary Page Keller,White,Female
262,Connie Nielsen,White,Female
263,Olivia Williams,White,Female
266,Vanessa Redgrave,White,Female
267,Stephen Dillane,White,Male
268,Michael Brandon,White,Male
271,Martin Short,White,Male
272,Tod Fennell,,
273,Joan Plowright,White,Female
276,Gretchen Mol,White,Female
277,Craig Bierko,White,Male
278,Brad William Henke,White,Male
281,Nichola Burley,,
282,Tom Burke,,
285,Steve Buscemi,White,Male
286,Adam Sandler,White,Male
287,Jon Lovitz,White,Male
290,Keri Maletto,,
291,Nicholas Simmons,,
292,Barbie Castro,,
295,Tatiana Suarez-Pico,,
296,Michael Cortez,,
297,Eric Ambriz,,
300,Nicolas Cage,White,Male
301,Julia Roberts,White,Female
304,Jeff Bridges,White,Male
305,Bradley Whitford,White,Male
306,Albert Brooks,White,Male
309,John Abraham,Asian/Indian,Male
310,Lisa Ray,,
311,Seema Biswas,,
314,Rip Torn,White,Male
315,Thomas F. Wilson,White,Male
318,Mo'Nique,Black,Female
319,Mike Epps,Black,Male
320,Faizon Love,Black,Male
323,Jizelle Jade,,
324,H--ctor Jim--nez,,
327,Djimon Hounsou,Black,Male
328,Ed Speleers,White,Male
329,Gary Lewis,White,Male
332,Ian Whyte,,
333,Texas Battle,,
334,Randall Duk Kim,,
336,Al Pacino,White,Male
337,Richard Schiff,White,Male
338,Mark Webber,White,Male
341,Bernie Casey,Black,Male
342,Klaus Maria Brandauer,White,Male
343,Barbara Carrera,White,Female
346,Charlize Theron,White,Female
347,Patton Oswalt,White,Male
348,Collette Wolfe,,
351,Bingbing Li,,
352,Joan Chen,Asian,Female
353,Jaycee Chan,,
356,Patrick Muldoon,White,Male
357,Seth Gilliam,Black,Male
360,Channing Tatum,White,Male
361,Rick Gonzalez,Hispanic,Male
362,Robert Ri'chard,Black,Male
365,Tony Goldwyn,White,Male
366,Monica Potter,White,Female
367,Martha MacIsaac,White,Female
370,Robert Shaw,White,Male
371,Denholm Elliott,White,Male
372,Nicol Williamson,White,Male
375,Eileen Brennan,White,Female
376,Treat Williams,White,Male
379,Tamala Jones,Black,Female
380,Glenn Plummer,Black,Male
383,Michael Fassbender,White,Male
384,Brad Pitt,White,Male
385,Christoph Waltz,White,Male
388,Charlie Hunnam,White,Male
389,Clifton Collins Jr.,White,Male
390,Larry Joe Campbell,White,Male
393,Tim Holmes,,
394,Mila Kunis,White,Female
395,James Franco,White,Male
398,Dennis Quaid,White,Male
399,Marc Blucas,White,Male
400,Jordi Moll--,,
403,Edgar Ram--rez,,
404,William Hurt,White,Male
407,Lily Tomlin,White,Female
408,Daniel von Bargen,White,Male
411,Ashley Rickards,,
412,Essence Atkins,Black,Female
413,Gabriel Iglesias,Hispanic,Male
416,Matthew McConaughey,White,Male
417,Scott Glenn,White,Male
418,Sarah Wright,,
421,Shelley Hennig,,
422,Renee Olstead,White,Female
423,Heather Sossaman,,
426,Li Gong,Asian,Female
427,Aaron Kwok,Asian,Male
428,Eddie Peng,,
431,Don Brooks,,
432,Bobby Kendall,,
435,Joey D. Vieira,,
436,Maggie Wheeler,White,Female
437,Jacqueline Lovell,,
440,Paula Garc--s,,
441,Annabella Sciorra,White,Female
442,John Brodsky,,
445,Stephen Rea,White,Male
446,Ian Hart,White,Male
447,James Bolam,White,Male
450,Ray Winstone,White,Male
451,Alexandra Breckenridge,,
452,Elena Satine,,
455,Ryan Guzman,,
456,Stephen Boss,,
457,Misha Gabriel Hamilton,,
460,Brittany Daniel,White,Female
461,Lindsay Price,Multiracial,Female
462,Jay Chandrasekhar,Asian/Indian,Male
465,Henry Thomas,White,Male
466,Louise Fletcher,White,Female
467,A.J. Buckley,,
470,Christina Moore,,
471,Cullen Douglas,,
474,Mark Rylance,White,Male
475,Jasmine Trinca,,
478,Gloria Grahame,White,Female
479,Dorothy Lamour,White,Female
480,Cornel Wilde,White,Male
483,Tippi Hedren,White,Female
484,Melanie Griffith,White,Female
485,Zakes Mokae,Black,Male
488,Daoming Chen,,
489,Ni Yan,,
492,Radha Mitchell,White,Female
493,Alan Ruck,White,Male
494,Megan Mullally,White,Female
497,Alex Rocco,White,Male
498,Lukas Haas,White,Male
499,Katherine Helmond,White,Female
502,Virginia Madsen,White,Female
503,Aaron Ashmore,White,Male
504,Lindsey Haun,,
507,Mircea Monroe,,
508,Lew Temple,,
509,Robert Pine,White,Male
512,Michael Rapaport,White,Male
513,Paul Sorvino,White,Male
516,Alex Kendrick,,
517,Jansen Panettiere,,
518,Tiya Sircar,,
521,--scar Jaenada,,
522,Brett Cullen,White,Male
523,Sedona Legge,,
526,B--r--nice Bejo,,
527,Ed Lauter,White,Male
528,Beth Grant,White,Female
531,Alexander Gould,White,Male
532,Ethan Embry,White,Male
535,Liam Neeson,White,Male
536,Brendan Fraser,White,Male
537,Sarah Gadon,,
540,Stephen Macht,White,Male
541,Avery Schreiber,White,Male
542,Angelo Rossitto,,
545,Olivia Munn,Multiracial,Female
546,Dorian Missick,,
549,David Raizor,,
550,Cody Howard,,
551,Martin Kove,White,Male
554,Marlon Brando,White,Male
555,Margot Kidder,White,Female
556,Ned Beatty,White,Male
559,Jake Gyllenhaal,White,Male
560,Geoffrey Arend,White,Male
561,Marley Shelton,White,Female
564,Ken Howard,White,Male
565,Jeremy Northam,White,Male
566,Ray McKinnon,,
569,Johannes Silberschneider,,
570,Clotilde Mollet,,
571,Carlo Cecchi,,
574,Callum Blue,White,Male
575,Jesse Borrego,Hispanic,Male
578,Amy Poehler,White,Female
