NodeID,Name,Race,Gender
8193,Marc Lawrence,White,Male
4,Jeff Wadlow,,
8197,Shekhar Kapur,,
9,Matty Rich,,
14,Andrew Jarecki,,
8209,Rodrigo Cort--s,,
19,Ira Sachs,,
24,Harold Ramis,White,Male
8217,Scott Mann,,
29,Huck Botko,,
8222,Stevan Mena,,
12293,G--rard Krawczyk,,
34,Christian Alvart,,
8229,Matt Maiellaro,,
39,Mimi Leder,White,Female
8235,Michel Leclerc,,
44,Kevin Reynolds,White,Male
8238,Floyd Mutrux,,
49,Guy Ritchie,White,Male
8245,Gillian Robespierre,,
54,Michael Rymer,,
8201,John Huston,White,Male
59,Paul Fierlinger,,
10933,Molly Bernstein,,
64,Ben Stiller,White,Male
8258,Joe Camp,White,Male
69,Tate Taylor,White,Male
8262,Ryan Coogler,,
9004,Kirk De Micco,,
74,Sam Taylor-Johnson,,
79,Barry Levinson,White,Male
8274,Leos Carax,White,Male
84,Clint Eastwood,White,Male
8206,Paul Fox,,
89,Baz Luhrmann,White,Male
8285,Alan Shapiro,,
94,Michel Orion Scott,,
8287,John Gulager,,
98,James Wong,,
8291,Dan Mazer,,
8293,Mark Dindal,,
103,Marc Forby,,
8296,Clare Kilner,,
108,Luis Llosa,Hispanic,Male
112,Don Bluth,White,Male
117,Melvin Van Peebles,Black,Male
8310,Peter DeLuise,White,Male
8313,Vincent Ward,,
122,Brandon Landers,,
127,Gavin Wiesen,,
8320,Dan Harris,,
131,Mark Pellington,White,Male
136,Mel Gibson,White,Male
8329,Tommy Wirkola,,
141,Takashi Shimizu,,
11403,Caroline Link,,
146,Walter Hill,White,Male
150,Brian Robbins,,
155,Spike Lee,Black,Male
10949,Tim Chambers,,
160,David F. Sandberg,,
165,Frank Lotito,,
170,Tim Hunter,,
8364,Claudia Sainte-Luce,,
175,Paul Mazursky,White,Male
8368,Eric Valette,,
180,,,
8373,Chris Gorak,,
184,Ry--hei Kitamura,,
8378,Kunihiko Yuyama,,
8380,Nick Tomnay,,
189,Alexander Payne,White,Male
8384,Andrucha Waddington,,
194,John Milius,White,Male
8391,Gary Rogers,White,Male
203,Paolo Monico,,
8399,Craig Brewer,,
208,Robert Rodriguez,Hispanic,Male
213,Norman Ferguson,,
8407,Gabor Csupo,,
218,Joachim R--nning,,
223,Kari Skogland,White,Female
8419,Ben Stassen,,
228,J.B. Rogers,,
233,McG,White,Male
8426,Shane Meadows,,
238,Kasi Lemmons,Black,Female
8432,Jugal Hansraj,,
243,Joe Cross,,
8437,Emilio Estevez,White,Male
246,Barry Skolnick,,
251,Kirk Jones,,
255,Mike Judge,White,Male
260,Mike Mills,White,Male
8453,Brian Yuzna,,
264,Wes Anderson,White,Male
269,Henry Jaglom,White,Male
274,Mark Waters,White,Male
279,Josef Rusnak,,
283,Oliver Blackburn,,
8476,Mark Piznarski,,
11739,John Simpson,,
288,Genndy Tartakovsky,,
293,Daniel Columbie,,
8489,Takeshi Kitano,Asian,Male
298,Tadeo Garcia,,
302,John A. Davis,,
307,Albert Brooks,White,Male
8500,Ian Sharp,,
8503,Mary Pat Kelly,,
312,Deepa Mehta,Asian/Indian,Female
316,Peter Hewitt,White,Male
321,DJ Pooh,,
325,Jared Hess,,
330,Stefen Fangmeier,,
339,Daniel Algrant,,
8533,Daniel Espinosa,,
344,Irvin Kershner,White,Male
9615,Benni Diez,,
349,Jason Reitman,White,Male
354,Li Zhang,,
358,Paul Verhoeven,White,Male
8551,Johanna Schwartz,,
8553,Istv--n Szab--,,
363,Thomas Carter,Black,Male
8556,Jack Perez,,
368,Dennis Iliadis,,
8564,Tara Subkoff,White,Female
373,Richard Lester,White,Male
377,John Pasquin,,
381,Marcus Raboy,,
386,Quentin Tarantino,White,Male
391,Guillermo del Toro,Hispanic,Male
11197,Eric Lartigau,,
396,Sam Raimi,White,Male
8590,Carl Franklin,Black,Male
401,John Lee Hancock,,
405,Pete Travis,,
409,Jon Turteltaub,White,Male
414,Michael Tiddes,,
419,S.R. Bindler,,
8612,Shinji Aramaki,,
424,Levan Gabriadze,,
8620,Aleksey German,,
